director,release_year,movie_id,title,weighted_rating
Spike Lee,1998,9469,He Got Game,6.167685031890869
Spike Lee,1996,49471,Get on the Bus,6.103587627410889
Spike Lee,1996,61752,Girl 6,6.086851119995117
Spike Lee,1994,34152,Crooklyn,6.112303256988525
Spike Lee,1992,1883,Malcolm X,6.401414394378662
Spike Lee,1990,41823,Mo' Better Blues,6.102962017059326
Spike Lee,1989,925,Do the Right Thing,6.444987773895264
Spike Lee,1988,36739,School Daze,6.096121788024902
Spike Lee,1986,27995,She's Gotta Have It,6.093475818634033
Ralph Ziman,2008,22600,Gangster's Paradise: Jerusalema,6.104902744293213
James Cameron,2009,19995,Avatar,7.116817951202393
James Cameron,1997,597,Titanic,7.3416829109191895
James Cameron,1994,36955,True Lies,6.473387718200684
James Cameron,1991,280,Terminator 2: Judgment Day,7.400462627410889
James Cameron,1989,2756,The Abyss,6.553638935089111
James Cameron,1986,679,Aliens,7.331294536590576
James Cameron,1984,218,The Terminator,7.072514057159424
Don Coscarelli,2002,9707,Bubba Ho-tep,6.1940693855285645
Don Coscarelli,1988,15158,Phantasm II,6.111756801605225
