director,release_year,movie_id,title,weighted_rating
Brian De Palma,2000,2067,Mission to Mars,5.984021186828613
Brian De Palma,1998,8688,Snake Eyes,6.0187249183654785
Brian De Palma,1996,954,Mission: Impossible,6.537933349609375
Brian De Palma,1992,13937,Raising Cain,6.081035137176514
Brian De Palma,1987,117,The Untouchables,6.983303546905518
Brian De Palma,1984,11507,Body Double,6.1316423416137695
Brian De Palma,1983,111,Scarface,7.531988620758057
Brian De Palma,1981,11644,Blow Out,6.331614971160889
Brian De Palma,1980,11033,Dressed to Kill,6.192724227905273
Chris Buck,2013,109445,Frozen,7.114963054656982
John Laing,2015,356987,Abandoned,6.085273742675781
Nathan Frankowski,2015,75861,To Write Love on Her Arms,6.126322269439697
Gene Teigland,2007,181940,Carousel of Revenge,6.093305587768555
Terry George,2004,205,Hotel Rwanda,6.730011463165283
Steve Carver,1983,14854,Lone Wolf McQuade,6.054561614990234
Shona Auerbach,2004,8981,Dear Frankie,6.134806156158447
John Landis,1994,306,Beverly Hills Cop III,5.908456802368164
John Landis,1983,1621,Trading Places,6.531102180480957
John Landis,1980,525,The Blues Brothers,6.8334879875183105
John Landis,1978,8469,Animal House,6.368540287017822
John Landis,1977,11598,The Kentucky Fried Movie,6.113053798675537
Ulu Grosbard,1999,30943,The Deep End of the Ocean,6.083001136779785
Rob Reiner,2014,253235,And So It Goes,6.035868167877197
Rob Reiner,2010,43949,Flipped,6.489963531494141
Rob Reiner,2007,7350,The Bucket List,6.579942226409912
Rob Reiner,2003,17813,Alex & Emma,6.020915508270264
Rob Reiner,1999,12220,The Story of Us,6.079284191131592
Rob Reiner,1996,31908,Ghosts of Mississippi,6.0975775718688965
Rob Reiner,1995,9087,The American President,6.162027835845947
Rob Reiner,1992,881,A Few Good Men,6.574172019958496
Rob Reiner,1989,639,When Harry Met Sally...,6.693808078765869
Rob Reiner,1987,2493,The Princess Bride,7.009030818939209
Rob Reiner,1986,235,Stand by Me,7.140298366546631
Thomas L. Phillips,2012,286939,Sanctuary: Quite a Conundrum,6.093305587768555
Douglas McGrath,2011,70868,I Don't Know How She Does It,5.9531636238098145
Douglas McGrath,2006,9672,Infamous,6.111363887786865
Douglas McGrath,2002,29339,Nicholas Nickleby,6.127658843994141
Jesse Dylan,2005,9981,Kicking & Screaming,6.016810417175293
Jesse Dylan,2003,8273,American Wedding,6.042854309082031
Jesse Dylan,2001,8386,How High,6.131588935852051
Nigel Cole,2010,46138,Made in Dagenham,6.138537406921387
Nigel Cole,2005,8976,A Lot Like Love,6.194581031799316
Ira Sachs,2007,8060,Married Life,6.093560695648193
Ira Sachs,2005,30082,Forty Shades of Blue,6.093111515045166
Mike Nichols,2007,6538,Charlie Wilson's War,6.199290752410889
Mike Nichols,2004,2288,Closer,6.371288299560547
Mike Nichols,2000,10416,What Planet Are You From?,6.067550182342529
Mike Nichols,1998,9440,Primary Colors,6.093903064727783
Mike Nichols,1994,10395,Wolf,6.07615327835083
Mike Nichols,1970,10364,Catch-22,6.135673999786377
Billy Bob Thornton,2000,21355,All the Pretty Horses,6.076035499572754
Billy Bob Thornton,1996,12498,Sling Blade,6.346958160400391
David Moreau,2008,9030,The Eye,5.958854675292969
Kevin Costner,2003,2055,Open Range,6.287862300872803
Kevin Costner,1997,9922,The Postman,6.0948967933654785
Kevin Costner,1990,581,Dances with Wolves,6.8793416023254395
McG,2014,192102,3 Days to Kill,6.048577785491943
McG,2012,59962,This Means War,5.978952407836914
McG,2009,534,Terminator Salvation,5.9541730880737305
McG,2006,11170,We Are Marshall,6.191860198974609
McG,2003,9471,Charlie's Angels: Full Throttle,5.657383918762207
McG,2000,4327,Charlie's Angels,5.815919876098633
Michael Schultz,2004,44634,Woman Thou Art Loosed,6.089896202087402
Michael Schultz,1985,13938,The Last Dragon,6.113891124725342
Michael Schultz,1985,29463,Krush Groove,6.103587627410889
Jim Hanon,2005,14120,End of the Spear,6.093408584594727
Paul Verhoeven,2006,9075,Black Book,6.341326713562012
Paul Verhoeven,2000,9383,Hollow Man,5.896974086761475
Paul Verhoeven,1997,563,Starship Troopers,6.469027519226074
Paul Verhoeven,1995,10802,Showgirls,5.84187650680542
Paul Verhoeven,1990,861,Total Recall,6.738284111022949
John H. Lee,2016,407887,Operation Chromite,6.084696292877197
Billy Ray,2015,290751,Secret in Their Eyes,6.120988368988037
Billy Ray,2003,13537,Shattered Glass,6.145869255065918
Jeff Burr,1987,39895,From a Whisper to a Scream,6.104188919067383
Kirk De Micco,2008,11802,Space Chimps,6.009716510772705
Ramaa Mosley,2012,127867,The Brass Teapot,6.051367282867432
Jack Perez,2011,80468,Some Guy Who Kills People,6.075677394866943
Arjun Sablok,2005,46415,Neal 'n' Nikki,6.077549457550049
Mike Mills,2010,55347,Beginners,6.28107213973999
Mike Mills,2005,1546,Thumbsucker,6.093742847442627
Stephen Chbosky,2012,84892,The Perks of Being a Wallflower,7.307634353637695
Richard Loncraine,2006,9754,Firewall,5.985872745513916
Richard Loncraine,2004,11823,Wimbledon,6.071469783782959
Richard Loncraine,1995,31174,Richard III,6.132519721984863
Frank Passingham,2006,24432,Doogal,6.039999961853027
Frank Nissen,2005,13682,Pooh's Heffalump Movie,6.119082927703857
Russell Friedenberg,2016,347755,Wind Walkers,6.102051734924316
Udayan Prasad,2008,22556,The Yellow Handkerchief,6.1090803146362305
Alex Proyas,2016,205584,Gods of Egypt,5.640241622924805
Alex Proyas,2009,13811,Knowing,5.975820064544678
Alex Proyas,2004,2048,"I, Robot",6.577563285827637
Alex Proyas,1998,2666,Dark City,6.606088638305664
Alex Proyas,1994,9495,The Crow,6.694759368896484
David Gordon Green,2015,10317,Our Brand Is Crisis,6.04374361038208
David Gordon Green,2014,157847,Joe,6.199290752410889
David Gordon Green,2011,38319,Your Highness,5.78676700592041
David Gordon Green,2011,57431,The Sitter,5.917819499969482
David Gordon Green,2008,10189,Pineapple Express,6.369378089904785
David Gordon Green,2008,14054,Snow Angels,6.1126909255981445
David Gordon Green,2003,13132,All the Real Girls,6.087441921234131
David Gordon Green,2000,18292,George Washington,6.1044020652771
