movie_id,budget,director,genres,main_cast,original_language,popularity,release_date,release_year,revenue,runtime,status,title,vote_average,vote_count,weighted_rating
128,26500000,Hayao Miyazaki,"['Adventure', 'Fantasy', 'Animation']","['Yōji Matsuda', 'Yuriko Ishida', 'Yūko Tanaka', 'Kaoru Kobayashi', 'Masahiko Nishimura']",ja,60.73273849487305,1997-07-12,1997,159375308,134.0,Released,Princess Mononoke,8.199999809265137,1983,7.5132832527160645
10096,37000000,Gary Winick,"['Comedy', 'Fantasy', 'Romance']","['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer', 'Andy Serkis', 'Kathy Baker']",en,41.569541931152344,2004-04-13,2004,96455697,98.0,Released,13 Going on 30,6.300000190734863,1204,6.2083587646484375
251,22000000,Jerry Zucker,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']","['Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg', 'Tony Goldwyn', 'Vincent Schiavelli']",en,41.96700668334961,1990-07-12,1990,505000000,127.0,Released,Ghost,6.900000095367432,1339,6.563350677490234
129670,12000000,Alexander Payne,"['Drama', 'Adventure']","['Bruce Dern', 'Will Forte', 'Bob Odenkirk', 'June Squibb', 'Stacy Keach']",en,29.223880767822266,2013-09-21,2013,17654912,115.0,Released,Nebraska,7.400000095367432,636,6.614344596862793
744,15000000,Tony Scott,"['Action', 'Romance', 'War']","['Tom Cruise', 'Kelly McGillis', 'Val Kilmer', 'Anthony Edwards', 'Tom Skerritt']",en,58.9006462097168,1986-05-16,1986,356830601,110.0,Released,Top Gun,6.699999809265137,1698,6.481023788452148
16222,15000000,David Raynr,"['Drama', 'Comedy', 'Romance']","[""Jodi Lyn O'Keefe"", 'Shane West', 'Marla Sokoloff', 'James Franco', 'Aaron Paul']",en,8.074807167053223,2000-03-31,2000,9902115,94.0,Released,Whatever It Takes,5.0,37,6.0526909828186035
5072,,Christopher Smith,"['Horror', 'Comedy', 'Thriller']","['Danny Dyer', 'Laura Harris', 'Toby Stephens', 'Tim McInnerny', 'Babou Ceesay']",en,12.8989839553833,2006-05-19,2006,,96.0,Released,Severance,6.400000095367432,169,6.139255523681641
97614,12000000,Stefan Ruzowitzky,"['Crime', 'Drama', 'Thriller']","['Eric Bana', 'Olivia Wilde', 'Charlie Hunnam', 'Patrick Kerton', 'Kris Kristofferson']",en,10.190409660339355,2012-11-08,2012,66351,95.0,Released,Deadfall,5.599999904632568,224,5.999898433685303
14729,10000000,Walter Hill,"['Western', 'History']","['David Carradine', 'Keith Carradine', 'Robert Carradine', 'James Keach', 'Stacy Keach']",en,2.9595470428466797,1980-05-12,1980,15795189,99.0,Released,The Long Riders,6.599999904632568,50,6.118414402008057
47890,14000000,Franklin J. Schaffner,"['Adventure', 'Mystery', 'Thriller']","['Lesley-Anne Down', 'Frank Langella', 'Maurice Ronet', 'John Gielgud', 'Vic Tablian']",en,0.3105129897594452,1981-02-11,1981,439564,118.0,Released,Sphinx,6.0,2,6.093111515045166
24748,2500000,Martin Ritt,"['Action', 'Drama', 'Western']","['Paul Newman', 'Melvyn Douglas', 'Patricia Neal', 'Brandon De Wilde', 'Whit Bissell']",en,6.829189777374268,1963-05-29,1963,10000000,112.0,Released,Hud,7.5,66,6.183882713317871
2074,7000000,David O. Russell,"['Comedy', 'Romance']","['Ben Stiller', 'Patricia Arquette', 'Téa Leoni', 'Mary Tyler Moore', 'Alan Alda']",en,5.50032377243042,1996-03-22,1996,14702438,92.0,Released,Flirting with Disaster,6.300000190734863,66,6.106614589691162
19898,33000000,Christian Alvart,"['Action', 'Horror', 'Mystery', 'Science Fiction', 'Thriller']","['Ben Foster', 'Dennis Quaid', 'Cam Gigandet', 'Antje Traue', 'Cung Le']",en,28.353517532348633,2009-09-08,2009,20645327,108.0,Released,Pandorum,6.5,774,6.274945259094238
76170,120000000,James Mangold,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']","['Hugh Jackman', 'Hiroyuki Sanada', 'Famke Janssen', 'Will Yun Lee', 'Tao Okamoto']",en,15.95344352722168,2013-07-23,2013,415440673,126.0,Released,The Wolverine,6.300000190734863,4053,6.260450839996338
819,44000000,Barry Levinson,"['Crime', 'Drama', 'Thriller']","['Robert De Niro', 'Brad Pitt', 'Kevin Bacon', 'Jason Patric', 'Ron Eldard']",en,16.245067596435547,1996-10-18,1996,165615285,147.0,Released,Sleepers,7.300000190734863,715,6.608709812164307
310,80000000,Tom Shadyac,"['Fantasy', 'Comedy']","['Jim Carrey', 'Jennifer Aniston', 'Philip Baker Hall', 'Catherine Bell', 'Lisa Ann Walter']",en,109.6847915649414,2003-05-23,2003,484572835,101.0,Released,Bruce Almighty,6.400000095367432,3012,6.32593297958374
116149,55000000,Paul King,"['Family', 'Comedy']","['Nicole Kidman', 'Peter Capaldi', 'Ben Whishaw', 'Michael Gambon', 'Imelda Staunton']",en,39.88227462768555,2014-11-27,2014,259207227,95.0,Released,Paddington,7.0,883,6.527947902679443
849,27000000,Peter Yates,"['Fantasy', 'Action', 'Adventure']","['Ken Marshall', 'Lysette Anthony', 'Francesca Annis', 'Alun Armstrong', 'David Battley']",en,9.90488052368164,1983-07-29,1983,16519460,117.0,Released,Krull,5.800000190734863,129,6.058529376983643
796,10500000,Roger Kumble,"['Drama', 'Romance', 'Thriller']","['Sarah Michelle Gellar', 'Ryan Phillippe', 'Reese Witherspoon', 'Selma Blair', 'Louise Fletcher']",en,23.449703216552734,1999-03-05,1999,75902208,97.0,Released,Cruel Intentions,6.599999904632568,827,6.32792854309082
50456,30000000,Joe Wright,"['Action', 'Thriller', 'Adventure']","['Saoirse Ronan', 'Eric Bana', 'Vicky Krieps', 'Cate Blanchett', 'Tom Hollander']",en,31.191974639892578,2011-04-07,2011,63782078,111.0,Released,Hanna,6.5,1263,6.3244733810424805
166624,4700000,Analeine Cal y Mayor,"['Drama', 'Comedy']","['Douglas Smith', 'Zoë Kravitz', 'Ariadna Gil', 'Don McKellar', 'Kim Ly']",en,0.2175379991531372,2013-09-13,2013,,92.0,Released,Treading Water,5.599999904632568,6,6.090238571166992
8413,60000000,Paul W.S. Anderson,"['Horror', 'Science Fiction', 'Mystery']","['Laurence Fishburne', 'Sam Neill', 'Kathleen Quinlan', 'Joely Richardson', 'Richard T. Jones']",en,29.787134170532227,1997-08-15,1997,26673242,96.0,Released,Event Horizon,6.5,742,6.270711421966553
60308,50000000,Bennett Miller,['Drama'],"['Brad Pitt', 'Jonah Hill', 'Philip Seymour Hoffman', 'Robin Wright', 'Chris Pratt']",en,46.180419921875,2011-09-22,2011,110206216,133.0,Released,Moneyball,7.0,1381,6.628410339355469
214,10000000,Darren Lynn Bousman,"['Horror', 'Thriller', 'Crime']","['Tobin Bell', 'Shawnee Smith', 'Angus Macfadyen', 'Bahar Soomekh', 'Dina Meyer']",en,33.12487030029297,2006-10-27,2006,163876815,108.0,Released,Saw III,6.099999904632568,1071,6.096837520599365
429,1200000,Sergio Leone,['Western'],"['Eli Wallach', 'Clint Eastwood', 'Lee Van Cleef', 'Aldo Giuffrè', 'Luigi Pistilli']",it,88.3770751953125,1966-12-23,1966,6000000,161.0,Released,"The Good, the Bad and the Ugly",8.100000381469727,2311,7.5114922523498535
26837,,Emily Dell,"['Crime', 'Drama', 'Music']","[""Julie 'Jules' Urich"", 'Missy Yager', 'Wesley Jonathan', 'Drew Sidora', 'Aimee Garcia']",en,0.6315709948539734,2009-07-29,2009,,84.0,Released,B-Girl,5.5,7,6.089006423950195
11036,29000000,Nick Cassavetes,"['Romance', 'Drama']","['Rachel McAdams', 'Ryan Gosling', 'Gena Rowlands', 'James Garner', 'Sam Shepard']",en,55.10913848876953,2004-06-25,2004,115603229,123.0,Released,The Notebook,7.699999809265137,3067,7.317282676696777
12589,25000000,John A. Davis,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']","['Debi Derryberry', 'Megan Cavanagh', 'Mark DeCarlo', 'Jeffrey Garcia', 'Patrick Stewart']",en,12.739721298217773,2001-12-21,2001,80936232,83.0,Released,Jimmy Neutron: Boy Genius,5.599999904632568,231,5.997546195983887
11956,,Cédric Klapisch,['Comedy'],"['Garance Clavel', 'Zinedine Soualem', 'Renée Le Calm', 'Olivier Py', 'Simon Abkarian']",fr,1.4103870391845703,1996-04-03,1996,,91.0,Released,When the Cat's Away,6.099999904632568,16,6.093415260314941
16110,,Britt Allcroft,"['Animation', 'Drama', 'Family', 'Science Fiction']","['Alec Baldwin', 'Peter Fonda', 'Mara Wilson']",en,1.9163509607315063,2000-07-26,2000,,85.0,Released,Thomas and the Magic Railroad,4.599999904632568,8,6.08095121383667
117,25000000,Brian De Palma,"['Crime', 'Drama', 'History', 'Thriller']","['Kevin Costner', 'Sean Connery', 'Charles Martin Smith', 'Andy García', 'Robert De Niro']",en,38.27288818359375,1987-06-02,1987,76270454,119.0,Released,The Untouchables,7.599999904632568,1384,6.983303546905518
9647,,Richard Donner,"['Fantasy', 'Comedy', 'Drama']","['Bill Murray', 'Karen Allen', 'John Forsythe', 'Bobcat Goldthwait', 'Carol Kane']",en,21.620317459106445,1988-11-22,1988,60328000,101.0,Released,Scrooged,6.699999809265137,390,6.268702507019043
291081,,Julian Jarrold,"['Thriller', 'Mystery', 'Crime', 'Drama']","['Andrew Garfield', 'David Morrissey', 'John Henshaw', 'Anthony Flanagan', 'Warren Clarke']",en,7.247023105621338,2009-02-28,2009,,102.0,Released,Red Riding: In the Year of Our Lord 1974,7.0,54,6.14163875579834
47692,,Atom Egoyan,['Drama'],"['Bob Hoskins', 'Elaine Cassidy', 'Arsinée Khanjian', 'Peter McDonald', 'Gerard McSorley']",en,0.470645010471344,1999-11-24,1999,,116.0,Released,Felicia's Journey,6.599999904632568,23,6.105173110961914
33468,62000,Joseph Green,"['Horror', 'Science Fiction']","['Jason Evers', 'Virginia Leith', 'Doris Brent', 'Audrey Devereal', 'Eddie Carmel']",en,2.407047986984253,1962-02-25,1962,,82.0,Released,The Brain That Wouldn't Die,4.400000095367432,32,6.038627624511719
62630,19100000,Lee Tamahori,"['Drama', 'Action', 'Thriller', 'Crime', 'War']","['Dominic Cooper', 'Ludivine Sagnier', 'Raad Rawi', 'Mehmet Ferda', 'Philip Quast']",en,10.55941390991211,2011-02-11,2011,5728213,109.0,Released,The Devil's Double,6.5,208,6.165792465209961
3472,,Stephen Frears,"['Crime', 'Drama', 'Thriller']","['Chiwetel Ejiofor', 'Audrey Tautou', 'Sergi López', 'Benedict Wong', 'Sophie Okonedo']",en,9.177895545959473,2002-09-05,2002,,97.0,Released,Dirty Pretty Things,6.800000190734863,131,6.178238391876221
10895,2600000,Ben Sharpsteen,"['Animation', 'Family']","['Mel Blanc', 'Don Brodie', 'Walter Catlett', 'Marion Darlington', 'Frankie Darro']",en,46.007991790771484,1940-02-23,1940,84300000,88.0,Released,Pinocchio,6.900000095367432,1355,6.565678596496582
9260,1200000,Anthony Russo,['Comedy'],"['William H. Macy', 'Isaiah Washington', 'Sam Rockwell', 'Michael Jeter', 'Luis Guzmán']",en,3.582732915878296,2002-05-24,2002,,86.0,Released,Welcome to Collinwood,6.199999809265137,50,6.098592758178711
