release_year,popularity,movie_id,title
1999,60.76716613769531,2105,American Pie
1999,54.55027389526367,4951,10 Things I Hate About You
1999,54.0352668762207,1893,Star Wars: Episode I - The Phantom Menace
1999,41.69057846069336,2667,The Blair Witch Project
1999,40.74891662597656,8487,Wild Wild West
1999,39.60436248779297,36643,The World Is Not Enough
1999,34.973087310791016,6415,Three Kings
1999,34.91744613647461,8374,The Boondock Saints
1999,34.86859130859375,9032,Big Daddy
1999,33.88446044921875,9481,The Bone Collector
1999,31.385257720947266,1213,The Talented Mr. Ripley
1999,30.993736267089844,334,Magnolia
1999,30.816341400146484,926,Galaxy Quest
1999,30.475297927856445,10137,Stuart Little
1999,30.359163284301758,622,The Ninth Gate
1999,29.41522979736328,9535,Analyze This
1999,28.96915054321289,509,Notting Hill
1999,27.870311737060547,345,Eyes Wide Shut
1999,27.546913146972656,492,Being John Malkovich
1999,27.220157623291016,1911,The 13th Warrior
1999,27.197799682617188,9473,"South Park: Bigger, Longer & Uncut"
1999,26.21891212463379,1443,The Virgin Suicides
1999,26.153669357299805,9008,The Insider
1999,25.87779426574707,1844,Entrapment
1999,25.580272674560547,8224,8MM
1999,24.939294815063477,2277,Bicentennial Man
1999,24.444185256958008,1850,Man on the Moon
1999,23.449703216552734,796,Cruel Intentions
1999,23.127561569213867,9563,Any Given Sunday
1999,22.991268157958984,8914,Deep Blue Sea
1999,21.928024291992188,1946,eXistenZ
1999,21.08454132080078,10047,The Messenger: The Story of Joan of Arc
1999,20.825780868530273,10400,The Hurricane
1999,20.697555541992188,2900,The Astronaut's Wife
1999,20.652942657470703,9946,End of Days
1999,20.23053550720215,4806,Runaway Bride
1999,19.89042854309082,1090,The Thirteenth Floor
1999,19.43938636779785,10398,Double Jeopardy
1999,19.375768661499023,11618,The Haunting
1999,18.366361618041992,1542,Office Space
1999,18.345613479614258,2275,The General's Daughter
1999,18.316150665283203,817,Austin Powers: The Spy Who Shagged Me
1999,18.2231388092041,4816,Ghost Dog: The Way of the Samurai
1999,18.102571487426758,913,The Thomas Crown Affair
1999,17.561954498291016,332,Inspector Gadget
1999,17.45794677734375,2112,Payback
1999,16.865781784057617,11001,Blue Streak
1999,15.560917854309082,8649,Bringing Out the Dead
1999,15.557144165039062,226,Boys Don't Cry
1999,15.280261039733887,404,The Straight Story
1999,14.993168830871582,10307,Stigmata
1999,14.56666374206543,10366,Universal Soldier: The Return
1999,14.543435096740723,1832,Dogma
1999,14.530945777893066,49948,Fantasia 2000
1999,14.298296928405762,11374,Edtv
1999,13.664613723754883,11377,House on Haunted Hill
1999,13.476595878601074,9451,Election
1999,13.327371597290039,1439,Anna and the King
1999,13.191828727722168,11353,Bowfinger
1999,12.948627471923828,9824,Mystery Men
1999,12.819446563720703,1073,Arlington Road
1999,11.678561210632324,9825,Lake Placid
1999,11.142389297485352,9430,Go
1999,10.81050968170166,10207,Message in a Bottle
1999,10.713521003723145,3558,"Girl, Interrupted"
1999,9.83232593536377,10402,Deuce Bigalow: Male Gigolo
1999,9.622344970703125,10390,For Love of the Game
1999,9.229998588562012,14709,Varsity Blues
1999,9.164385795593262,10212,Ravenous
1999,9.06064224243164,12596,Pushing Tin
1999,8.987600326538086,10314,She's All That
1999,8.976737976074219,21349,Anywhere But Here
1999,8.962244987487793,2290,Jakob the Liar
1999,8.90210247039795,10388,The Limey
1999,8.792054176330566,17709,Dudley Do-Right
1999,8.73705768585205,11622,Blast from the Past
1999,8.628519058227539,46435,Topsy-Turvy
1999,8.583216667175293,6552,Idle Hands
1999,7.553772926330566,10563,Three to Tango
1999,7.386394023895264,12117,Instinct
1999,7.296459197998047,17707,Brokedown Palace
1999,6.921263217926025,20024,The End of the Affair
1999,6.806920051574707,9849,My Favorite Martian
1999,6.786117076873779,10154,Mickey Blue Eyes
1999,6.736273765563965,10490,Drop Dead Gorgeous
1999,6.589192867279053,10208,Muppets from Space
1999,6.370266914367676,28029,A Walk on the Moon
1999,6.225769996643066,12220,The Story of Us
1999,6.044160842895508,11601,Stir of Echoes
1999,5.778724193572998,15556,At First Sight
1999,5.7702460289001465,31306,Crazy in Alabama
